web-scraper-order,web-scraper-start-url,Chien_links_description,Chien_links_description-href,Race,Age,Adresse,Price,Nom,Lien_image
"1738975057-397","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot","https://sn.coinafrique.com/annonce/chiens/chiot-3764064","Chiot","2 années","Dakar, Sénégal","Prix sur demande","Chiot","Prix sur demande"
"1738975060-398","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot pitbull","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3765560","Chiot pitbull","2 années","Mariste, Dakar, Sénégal","125 000 CFA","Chiot pitbull","125 000 CFA"
"1738975062-399","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot bichon maltais","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-3778149","Chiot bichon maltais","2 années","Gueule Tapée, Dakar, Sénégal","150 000 CFA","Chiot bichon maltais","150 000 CFA"
"1738975065-400","https://sn.coinafrique.com/categorie/chiens?page=5","Pitbull","https://sn.coinafrique.com/annonce/chiens/pitbull-3782217","Pitbull","2 années","Mbao, Dakar, Sénégal","200 000 CFA","Pitbull","200 000 CFA"
"1738975068-401","https://sn.coinafrique.com/categorie/chiens?page=5","Pit Bull","https://sn.coinafrique.com/annonce/chiens/pit-bull-3783830","Pit Bull","2 années","Mbao, Dakar, Sénégal","200 000 CFA","Pit Bull","200 000 CFA"
"1738975071-402","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots bulldog français","https://sn.coinafrique.com/annonce/chiens/chiots-bulldog-francais-3788228","Chiots bulldog français","2 années","Mermoz-Sacré Coeur, Dakar, Sénégal","700 000 CFA","Chiots bulldog français","700 000 CFA"
"1738975073-403","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-3795668","Chiots","2 années","Dakar, Sénégal","200 000 CFA","Chiots","200 000 CFA"
"1738975076-404","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens","https://sn.coinafrique.com/annonce/chiens/chiens-3796612","Chiens","2 années","Dakar, Sénégal","100 000 CFA","Chiens","100 000 CFA"
"1738975079-405","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots métisses","https://sn.coinafrique.com/annonce/chiens/chiots-metisses-3796617","Chiots métisses","2 années","Dakar, Sénégal","100 000 CFA","Chiots métisses","100 000 CFA"
"1738975082-406","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot","https://sn.coinafrique.com/annonce/chiens/chiot-3798734","Chiot","2 années","Dakar, Sénégal","100 000 CFA","Chiot","100 000 CFA"
"1738975084-407","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Samoyede","https://sn.coinafrique.com/annonce/chiens/chiot-samoyede-3799036","Chiot Samoyede","2 années","Fann-Point E-Amitié, Dakar, Sénégal","Prix sur demande","Chiot Samoyede","Prix sur demande"
"1738975087-408","https://sn.coinafrique.com/categorie/chiens?page=5","Chienne Husky","https://sn.coinafrique.com/annonce/chiens/chienne-husky-3804084","Chienne Husky","2 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chienne Husky","Prix sur demande"
"1738975090-409","https://sn.coinafrique.com/categorie/chiens?page=5","Pit bull terrier","https://sn.coinafrique.com/annonce/chiens/pit-bull-terrier-3807116","Pit bull terrier","2 années","Mbao, Dakar, Sénégal","100 000 CFA","Pit bull terrier","100 000 CFA"
"1738975093-410","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3807360","Chiot Berger Allemand","2 années","Ngaparou, Sénégal","200 000 CFA","Chiot Berger Allemand","200 000 CFA"
"1738975096-411","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-3812064","Chiot bichon","2 années","Keur Massar, Sénégal","250 000 CFA","Chiot bichon","250 000 CFA"
"1738975098-412","https://sn.coinafrique.com/categorie/chiens?page=5","Husky Sibérien","https://sn.coinafrique.com/annonce/chiens/husky-siberien-3826391","Husky Sibérien","2 années","Diamalaye 1, Dakar, Sénégal","600 000 CFA","Husky Sibérien","600 000 CFA"
"1738975101-413","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Husky","https://sn.coinafrique.com/annonce/chiens/chiot-husky-3828001","Chiot Husky","2 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Husky","Prix sur demande"
"1738975104-414","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot pittbull mâle","https://sn.coinafrique.com/annonce/chiens/chiot-pittbull-male-3828012","Chiot pittbull mâle","2 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot pittbull mâle","Prix sur demande"
"1738975106-415","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Bichons Maltais","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-3830263","Chiots Bichons Maltais","2 années","Keur Massar, Sénégal","360 000 CFA","Chiots Bichons Maltais","360 000 CFA"
"1738975109-416","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-3832175","Chiots","2 années","Point E, Dakar, Sénégal","150 000 CFA","Chiots","150 000 CFA"
"1738975112-417","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot   Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-3833288","Chiot   Bichon","2 années","Mamelles, Dakar, Sénégal","210 000 CFA","Chiot   Bichon","210 000 CFA"
"1738975115-418","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot  Husky","https://sn.coinafrique.com/annonce/chiens/chiot-husky-3833295","Chiot  Husky","2 années","Mamelles, Dakar, Sénégal","390 000 CFA","Chiot  Husky","390 000 CFA"
"1738975118-419","https://sn.coinafrique.com/categorie/chiens?page=5","Pitbull","https://sn.coinafrique.com/annonce/chiens/pitbull-3834863","Pitbull","2 années","Dakar, Sénégal","150 000 CFA","Pitbull","150 000 CFA"
"1738975120-420","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot pitbull","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3834868","Chiot pitbull","2 années","Dakar, Sénégal","150 000 CFA","Chiot pitbull","150 000 CFA"
"1738975123-421","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Husky","https://sn.coinafrique.com/annonce/chiens/chiot-husky-3842536","Chiot Husky","2 années","Sicap Liberté, Dakar, Sénégal","400 000 CFA","Chiot Husky","400 000 CFA"
"1738975126-422","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Malinois","https://sn.coinafrique.com/annonce/chiens/chiots-berger-malinois-3847815","Chiots Berger Malinois","2 années","Rufisque, Sénégal","250 000 CFA","Chiots Berger Malinois","250 000 CFA"
"1738975129-423","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3858177","Chiot berger allemand","2 années","Ngaparou, Sénégal","150 000 CFA","Chiot berger allemand","150 000 CFA"
"1738975131-424","https://sn.coinafrique.com/categorie/chiens?page=5","Caniche bichon","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-3861980","Caniche bichon","2 années","Sicap Liberté, Dakar, Sénégal","200 000 CFA","Caniche bichon","200 000 CFA"
"1738975134-425","https://sn.coinafrique.com/categorie/chiens?page=5","Bichon maltais","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-3865643","Bichon maltais","2 années","Mbao, Dakar, Sénégal","Prix sur demande","Bichon maltais","Prix sur demande"
"1738975137-426","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot berger","https://sn.coinafrique.com/annonce/chiens/chiot-berger-3865651","Chiot berger","2 années","Mbao, Dakar, Sénégal","Prix sur demande","Chiot berger","Prix sur demande"
"1738975140-427","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot malinois","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-3867595","Chiot malinois","2 années","Toubab Dialao, Sénégal","250 000 CFA","Chiot malinois","250 000 CFA"
"1738975142-428","https://sn.coinafrique.com/categorie/chiens?page=5","Chienne Cane Corso","https://sn.coinafrique.com/annonce/chiens/chienne-cane-corso-3867600","Chienne Cane Corso","2 années","Toubab Dialao, Sénégal","400 000 CFA","Chienne Cane Corso","400 000 CFA"
"1738975145-429","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Yorkshire Toy","https://sn.coinafrique.com/annonce/chiens/chiot-yorkshire-toy-3868293","Chiot Yorkshire Toy","2 années","Fann-Point E-Amitié, Dakar, Sénégal","Prix sur demande","Chiot Yorkshire Toy","Prix sur demande"
"1738975148-430","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Berger Malinois femelle","https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-femelle-3874592","Chiot Berger Malinois femelle","2 années","Yoff, Dakar, Sénégal","300 000 CFA","Chiot Berger Malinois femelle","300 000 CFA"
"1738975151-431","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot femelle boerboel","https://sn.coinafrique.com/annonce/chiens/chiot-femelle-boerboel-3874975","Chiot femelle boerboel","2 années","Thies, Sénégal","550 000 CFA","Chiot femelle boerboel","550 000 CFA"
"1738975153-432","https://sn.coinafrique.com/categorie/chiens?page=5","Berger malinois","https://sn.coinafrique.com/annonce/chiens/berger-malinois-3881831","Berger malinois","2 années","Rufisque, Sénégal","250 000 CFA","Berger malinois","250 000 CFA"
"1738975156-433","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3890175","Chiots Berger Allemand","2 années","Mamelles, Dakar, Sénégal","150 000 CFA","Chiots Berger Allemand","150 000 CFA"
"1738975159-434","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Bulldogs français","https://sn.coinafrique.com/annonce/chiens/chiots-bulldogs-francais-3893728","Chiots Bulldogs français","2 années","Sacré-Coeur, Dakar, Sénégal","500 000 CFA","Chiots Bulldogs français","500 000 CFA"
"1738975162-435","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Bulldogs français","https://sn.coinafrique.com/annonce/chiens/chiots-bulldogs-francais-3893742","Chiots Bulldogs français","2 années","Sacré-Coeur, Dakar, Sénégal","500 000 CFA","Chiots Bulldogs français","500 000 CFA"
"1738975164-436","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Pinschers toy","https://sn.coinafrique.com/annonce/chiens/chiots-pinschers-toy-3893750","Chiots Pinschers toy","2 années","Sacré-Coeur, Dakar, Sénégal","400 000 CFA","Chiots Pinschers toy","400 000 CFA"
"1738975167-437","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots  Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3895930","Chiots  Berger Allemand","2 années","Keur Massar, Sénégal","135 000 CFA","Chiots  Berger Allemand","135 000 CFA"
"1738975170-438","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots  Bichon","https://sn.coinafrique.com/annonce/chiens/chiots-bichon-3897557","Chiots  Bichon","2 années","Mbao, Dakar, Sénégal","Prix sur demande","Chiots  Bichon","Prix sur demande"
"1738975173-439","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots métisse malinois et berger belge","https://sn.coinafrique.com/annonce/chiens/chiots-metisse-malinois-et-berger-belge-3899662","Chiots métisse malinois et berger belge","2 années","Diamniadio, Sénégal","120 000 CFA","Chiots métisse malinois et berger belge","120 000 CFA"
"1738975175-440","https://sn.coinafrique.com/categorie/chiens?page=5","Chien Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-3900127","Chien Berger Allemand","2 années","Keur Massar, Sénégal","250 000 CFA","Chien Berger Allemand","250 000 CFA"
"1738975178-441","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Rottweilers","https://sn.coinafrique.com/annonce/chiens/chiots-rottweilers-3905906","Chiots Rottweilers","2 années","Ouest Foire, Dakar, Sénégal","250 000 CFA","Chiots Rottweilers","250 000 CFA"
"1738975181-442","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot berger allemand mâle","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-male-3910219","Chiot berger allemand mâle","2 années","Mbao, Dakar, Sénégal","200 000 CFA","Chiot berger allemand mâle","200 000 CFA"
"1738975184-443","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Béninois Marocain","https://sn.coinafrique.com/annonce/chiens/chiot-beninois-marocain-3917424","Chiot Béninois Marocain","2 années","Yoff, Dakar, Sénégal","150 000 CFA","Chiot Béninois Marocain","150 000 CFA"
"1738975186-444","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3919086","Chiot Berger Allemand","2 années","Thies, Sénégal","150 000 CFA","Chiot Berger Allemand","150 000 CFA"
"1738975189-445","https://sn.coinafrique.com/categorie/chiens?page=5","Bichon maltais","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-3936588","Bichon maltais","2 années","Yoff, Dakar, Sénégal","300 000 CFA","Bichon maltais","300 000 CFA"
"1738975192-446","https://sn.coinafrique.com/categorie/chiens?page=5","Bergers Belges Malinois","https://sn.coinafrique.com/annonce/chiens/bergers-belges-malinois-3939343","Bergers Belges Malinois","2 années","Ouakam, Dakar, Sénégal","200 000 CFA","Bergers Belges Malinois","200 000 CFA"
"1738975195-447","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots  Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3940749","Chiots  Berger Allemand","2 années","Dakar, Sénégal","150 000 CFA","Chiots  Berger Allemand","150 000 CFA"
"1738975197-448","https://sn.coinafrique.com/categorie/chiens?page=5","Mâle Boerbull","https://sn.coinafrique.com/annonce/chiens/male-boerbull-3950528","Mâle Boerbull","2 années","Pikine, Sénégal","600 000 CFA","Mâle Boerbull","600 000 CFA"
"1738975200-449","https://sn.coinafrique.com/categorie/chiens?page=5","Femelle Husky","https://sn.coinafrique.com/annonce/chiens/femelle-husky-3950534","Femelle Husky","2 années","Pikine, Sénégal","500 000 CFA","Femelle Husky","500 000 CFA"
"1738975203-450","https://sn.coinafrique.com/categorie/chiens?page=5","Berger Malinois","https://sn.coinafrique.com/annonce/chiens/berger-malinois-3961680","Berger Malinois","2 années","Pikine, Sénégal","1 200 000 CFA","Berger Malinois","1 200 000 CFA"
"1738975206-451","https://sn.coinafrique.com/categorie/chiens?page=5","Berger Malinois","https://sn.coinafrique.com/annonce/chiens/berger-malinois-3961682","Berger Malinois","2 années","Pikine, Sénégal","1 200 000 CFA","Berger Malinois","1 200 000 CFA"
"1738975208-452","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-3962314","Chiots","2 années","Cambérène, Dakar, Sénégal","250 000 CFA","Chiots","250 000 CFA"
"1738975211-453","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon Maltais","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-3975894","Chiot Bichon Maltais","2 années","Mermoz-Sacré Coeur, Dakar, Sénégal","120 000 CFA","Chiot Bichon Maltais","120 000 CFA"
"1738975214-454","https://sn.coinafrique.com/categorie/chiens?page=5","Femelle Berger Allemand","https://sn.coinafrique.com/annonce/chiens/femelle-berger-allemand-3989786","Femelle Berger Allemand","2 années","Thies, Sénégal","250 000 CFA","Femelle Berger Allemand","250 000 CFA"
"1738975217-455","https://sn.coinafrique.com/categorie/chiens?page=5","Mâle Pitbull","https://sn.coinafrique.com/annonce/chiens/male-pitbull-3997099","Mâle Pitbull","2 années","Dakar, Sénégal","120 000 CFA","Mâle Pitbull","120 000 CFA"
"1738975219-456","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4005622","Chiot Berger Allemand","2 années","Colobane, Dakar, Sénégal","150 000 CFA","Chiot Berger Allemand","150 000 CFA"
"1738975222-457","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Husky","https://sn.coinafrique.com/annonce/chiens/chiot-husky-4018249","Chiot Husky","2 années","Cambérène, Dakar, Sénégal","200 000 CFA","Chiot Husky","200 000 CFA"
"1738975225-458","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Husky","https://sn.coinafrique.com/annonce/chiens/chiots-husky-4023358","Chiots Husky","2 années","Cambérène, Dakar, Sénégal","150 000 CFA","Chiots Husky","150 000 CFA"
"1738975228-459","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4025445","Chiot Bichon","2 années","Dieuppeul-Derklé, Dakar, Sénégal","130 000 CFA","Chiot Bichon","130 000 CFA"
"1738975230-460","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Bichons","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4025449","Chiots Bichons","2 années","Dieuppeul-Derklé, Dakar, Sénégal","30 000 CFA","Chiots Bichons","30 000 CFA"
"1738975233-461","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots bichon","https://sn.coinafrique.com/annonce/chiens/chiots-bichon-4027584","Chiots bichon","2 années","Dieuppeul-Derklé, Dakar, Sénégal","130 000 CFA","Chiots bichon","130 000 CFA"
"1738975236-462","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots cane corso","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-4034427","Chiots cane corso","2 années","Saly, Sénégal","350 000 CFA","Chiots cane corso","350 000 CFA"
"1738975239-463","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots bichons","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4041795","Chiots bichons","2 années","Dieuppeul-Derklé, Dakar, Sénégal","130 000 CFA","Chiots bichons","130 000 CFA"
"1738975241-464","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Bichons","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4041802","Chiots Bichons","2 années","Dieuppeul-Derklé, Dakar, Sénégal","130 000 CFA","Chiots Bichons","130 000 CFA"
"1738975244-465","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4044025","Chiots Berger Allemand","2 années","Dakar, Sénégal","130 000 CFA","Chiots Berger Allemand","130 000 CFA"
"1738975251-466","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots berger allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4047402","Chiots berger allemand","2 années","Cambérène, Dakar, Sénégal","180 000 CFA","Chiots berger allemand","180 000 CFA"
"1738975254-467","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Bichons","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4048333","Chiots Bichons","2 années","Dieuppeul-Derklé, Dakar, Sénégal","130 000 CFA","Chiots Bichons","130 000 CFA"
"1738975256-468","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4048503","Chiot Bichon","2 années","Dakar, Sénégal","200 000 CFA","Chiot Bichon","200 000 CFA"
"1738975259-469","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Rottweiller","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-4051242","Chiot Rottweiller","2 années","Dieuppeul-Derklé, Dakar, Sénégal","200 000 CFA","Chiot Rottweiller","200 000 CFA"
"1738975262-470","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Bulldog français","https://sn.coinafrique.com/annonce/chiens/chiots-bulldog-francais-4056315","Chiots Bulldog français","2 années","Fann-Point E-Amitié, Dakar, Sénégal","Prix sur demande","Chiots Bulldog français","Prix sur demande"
"1738975265-471","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots bergers allemands","https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-4057130","Chiots bergers allemands","2 années","Keur Massar, Sénégal","160 000 CFA","Chiots bergers allemands","160 000 CFA"
"1738975267-472","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Golden Retriever","https://sn.coinafrique.com/annonce/chiens/chiot-golden-retriever-4059349","Chiot Golden Retriever","2 années","Fann, Dakar, Sénégal","650 000 CFA","Chiot Golden Retriever","650 000 CFA"
"1738975270-473","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot husky sibérien","https://sn.coinafrique.com/annonce/chiens/chiot-husky-siberien-4063809","Chiot husky sibérien","2 années","Mbao, Dakar, Sénégal","Prix sur demande","Chiot husky sibérien","Prix sur demande"
"1738975273-474","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Pitbull","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4070065","Chiots Pitbull","2 années","Dakar, Sénégal","100 000 CFA","Chiots Pitbull","100 000 CFA"
"1738975276-475","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Bichons","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4077248","Chiots Bichons","2 années","Dieuppeul-Derklé, Dakar, Sénégal","130 000 CFA","Chiots Bichons","130 000 CFA"
"1738975278-476","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Pitbull","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4078372","Chiots Pitbull","2 années","Dakar, Sénégal","100 000 CFA","Chiots Pitbull","100 000 CFA"
"1738975281-477","https://sn.coinafrique.com/categorie/chiens?page=4","Chien berger allemand","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4080591","Chien berger allemand","2 années","Dakar, Sénégal","300 000 CFA","Chien berger allemand","300 000 CFA"
"1738975284-478","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot berger malinois","https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4085335","Chiot berger malinois","2 années","Rufisque, Sénégal","700 000 CFA","Chiot berger malinois","700 000 CFA"
"1738975287-479","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Spitz Nain Pomeranien","https://sn.coinafrique.com/annonce/chiens/chiot-spitz-nain-pomeranien-4105901","Chiot Spitz Nain Pomeranien","1 année","Fann-Point E-Amitié, Dakar, Sénégal","Prix sur demande","Chiot Spitz Nain Pomeranien","Prix sur demande"
"1738975290-480","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot mâle bichon","https://sn.coinafrique.com/annonce/chiens/chiot-male-bichon-4108812","Chiot mâle bichon","1 année","Mbao, Dakar, Sénégal","100 000 CFA","Chiot mâle bichon","100 000 CFA"
"1738975292-481","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Caniche bichon","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-bichon-4117078","Chiot Caniche bichon","1 année","Dakar, Sénégal","150 000 CFA","Chiot Caniche bichon","150 000 CFA"
"1738975295-482","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4118286","Chiots malinois","1 année","Mermoz-Sacré Coeur, Dakar, Sénégal","280 000 CFA","Chiots malinois","280 000 CFA"
"1738975298-483","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot bichon maltais","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4118672","Chiot bichon maltais","1 année","Grand Yoff, Dakar, Sénégal","130 000 CFA","Chiot bichon maltais","130 000 CFA"
"1738975301-484","https://sn.coinafrique.com/categorie/chiens?page=4","Chien berger allemand","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4121621","Chien berger allemand","1 année","Dakar, Sénégal","140 000 CFA","Chien berger allemand","140 000 CFA"
"1738975303-485","https://sn.coinafrique.com/categorie/chiens?page=4","Chien Bichon","https://sn.coinafrique.com/annonce/chiens/chien-bichon-4124637","Chien Bichon","1 année","Ouakam, Dakar, Sénégal","150 000 CFA","Chien Bichon","150 000 CFA"
"1738975306-486","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Berger allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4125859","Chiots Berger allemand","1 année","Mbao, Dakar, Sénégal","Prix sur demande","Chiots Berger allemand","Prix sur demande"
"1738975309-487","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Bichon Maltais","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4125861","Chiot Bichon Maltais","1 année","Mbao, Dakar, Sénégal","Prix sur demande","Chiot Bichon Maltais","Prix sur demande"
"1738975312-488","https://sn.coinafrique.com/categorie/chiens?page=4","Chiens Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiens-rottweiler-4126333","Chiens Rottweiler","1 année","Almadies, Dakar, Sénégal","1 350 000 CFA","Chiens Rottweiler","1 350 000 CFA"
"1738975314-489","https://sn.coinafrique.com/categorie/chiens?page=4","Chienne Labrador","https://sn.coinafrique.com/annonce/chiens/chienne-labrador-4126334","Chienne Labrador","1 année","Almadies, Dakar, Sénégal","650 000 CFA","Chienne Labrador","650 000 CFA"
"1738975317-490","https://sn.coinafrique.com/categorie/chiens?page=4","Chienne Golden Retriever","https://sn.coinafrique.com/annonce/chiens/chienne-golden-retriever-4126336","Chienne Golden Retriever","1 année","Almadies, Dakar, Sénégal","700 000 CFA","Chienne Golden Retriever","700 000 CFA"
"1738975320-491","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4126440","Chiots malinois","1 année","Dakar, Sénégal","280 000 CFA","Chiots malinois","280 000 CFA"
"1738975323-492","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot  berger","https://sn.coinafrique.com/annonce/chiens/chiot-berger-4130159","Chiot  berger","1 année","Dakar, Sénégal","150 000 CFA","Chiot  berger","150 000 CFA"
"1738975326-493","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4131053","Chiots Berger Allemand","1 année","Keur Massar, Sénégal","100 000 CFA","Chiots Berger Allemand","100 000 CFA"
"1738975328-494","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Mal Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-mal-bichon-4134271","Chiot Mal Bichon","1 année","Dakar, Sénégal","250 CFA","Chiot Mal Bichon","250 CFA"
"1738975335-495","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots berger allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4135756","Chiots berger allemand","1 année","Diamniadio, Sénégal","150 000 CFA","Chiots berger allemand","150 000 CFA"
"1738975338-496","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4137626","Chiot Bichon","1 année","Dieuppeul-Derklé, Dakar, Sénégal","70 000 CFA","Chiot Bichon","70 000 CFA"
"1738975342-497","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4141061","Chiot Berger Allemand","1 année","Diamniadio, Sénégal","125 000 CFA","Chiot Berger Allemand","125 000 CFA"
"1738975345-498","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Labrador","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-4141864","Chiot Labrador","1 année","Dakar, Sénégal","750 000 CFA","Chiot Labrador","750 000 CFA"
"1738975348-499","https://sn.coinafrique.com/categorie/chiens?page=4","Chien Jack russell","https://sn.coinafrique.com/annonce/chiens/chien-jack-russell-4142083","Chien Jack russell","1 année","Mariste, Dakar, Sénégal","175 000 CFA","Chien Jack russell","175 000 CFA"
"1738975352-500","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4149942","Chiot Bichon","1 année","Dakar, Sénégal","150 000 CFA","Chiot Bichon","150 000 CFA"
